hypertension,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,722,42.123687281213535,574,41.867250182348656,148,43.14868804664723
2.0,903,52.68378063010501,724,52.80816921954777,179,52.1865889212828
,89,5.192532088681447,73,5.324580598103574,16,4.664723032069971
