dialysis,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,18,1.0501750291715286,15,1.0940919037199124,3.0,0.8746355685131195
2.0,3,0.1750291715285881,3,0.2188183807439825,,
3.0,1604,93.58226371061843,1280,93.36250911743254,324.0,94.46064139941691
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
,89,5.192532088681447,73,5.324580598103574,16.0,4.664723032069971
