troponin_uln,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,369,21.528588098016336,296,21.590080233406272,73,21.282798833819243
2.0,617,35.99766627771295,495,36.10503282275711,122,35.56851311953353
,728,42.47374562427071,580,42.304886943836614,148,43.14868804664723
