asthma,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,192,11.201866977829638,155,11.305616338439094,37,10.787172011661808
2.0,1431,83.48891481913653,1141,83.22392414296135,290,84.54810495626822
,91,5.309218203033839,75,5.470459518599562,16,4.664723032069971
