ckd,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,131,7.64294049008168,101,7.36688548504741,30,8.746355685131196
2.0,1493,87.10618436406068,1196,87.23559445660102,297,86.58892128279884
,90,5.250875145857643,74,5.397520058351568,16,4.664723032069971
