copd,count,proportion,train_count,train_proportion,test_count,test_proportion
1.0,124,7.234539089848307,95,6.929248723559446,29,8.454810495626822
2.0,1500,87.51458576429405,1202,87.67323121808899,298,86.88046647230321
,90,5.250875145857643,74,5.397520058351568,16,4.664723032069971
