chest_xray,count,proportion,train_count,train_proportion,test_count,test_proportion
1,201,11.726954492415402,166,12.107950401167031,35,10.204081632653061
2,974,56.82613768961493,775,56.52808169219548,199,58.01749271137027
3,539,31.44690781796966,430,31.36396790663749,109,31.778425655976676
